date,L_t
1996-01-01,1.0
1996-04-01,1.048754732760709
1996-07-01,0.8768723683266498
1996-10-01,1.0107964182189348
1997-01-01,1.1600721757918988
1997-04-01,0.8298984258306963
1997-07-01,0.640686131826772
1997-10-01,0.7015634065030258
1998-01-01,0.6845387084964623
1998-04-01,0.717339918589924
1998-07-01,0.6126521493367847
1998-10-01,0.7969324585144489
1999-01-01,0.9442242666002051
1999-04-01,0.9610639482174765
1999-07-01,1.1458028471578956
1999-10-01,1.2042015216129596
2000-01-01,1.0437420563701836
2000-04-01,1.0978212004817376
2000-07-01,0.9333950992949023
2000-10-01,1.0814401988333895
2001-01-01,1.0642900307068328
2001-04-01,1.0274794240850724
2001-07-01,0.9154392617708712
2001-10-01,1.120558959009493
2002-01-01,1.0822713589899169
2002-04-01,1.004483379557454
2002-07-01,0.9476376312791236
2002-10-01,1.038697867448758
2003-01-01,1.0928154076590253
2003-04-01,1.148410892152743
2003-07-01,1.2006460272668205
2003-10-01,1.520736965338577
2004-01-01,1.3971276541164483
2004-04-01,1.270491956376902
2004-07-01,1.10985797476484
2004-10-01,1.1960556602158747
2005-01-01,1.3546349652769316
2005-04-01,1.2965069384584966
2005-07-01,1.1287248715679112
2005-10-01,0.9823263290059229
2006-01-01,1.0884094630447088
2006-04-01,1.1973840658447297
2006-07-01,1.2620830413660287
2006-10-01,1.1261171460461594
2007-01-01,1.1490747788066416
2007-04-01,1.1509735956534108
2007-07-01,1.168979241619044
2007-10-01,1.2893976814086119
2008-01-01,1.2926157300540924
2008-04-01,1.3683226305145102
2008-07-01,1.3376989856998505
2008-10-01,1.3459669535990146
2009-01-01,1.4080517874532918
2009-04-01,1.1290010301878899
2009-07-01,1.063341019674584
2009-10-01,0.980955530274346
2010-01-01,0.8808775773995474
2010-04-01,0.850256089745829
2010-07-01,1.1062928894469266
2010-10-01,0.9558019608732283
2011-01-01,1.1156987770096272
2011-04-01,0.8334235011375153
2011-07-01,0.7985817524618208
2011-10-01,0.8472817957266668
2012-01-01,0.9582581667249014
2012-04-01,1.0767503757352068
2012-07-01,1.1950515160969841
2012-10-01,1.1173122089763234
2013-01-01,1.0301382986401564
2013-04-01,1.1640238810442836
2013-07-01,1.1149625024457432
2013-10-01,0.8979194091865296
2014-01-01,0.7280775214124882
2014-04-01,0.6115564344933255
2014-07-01,0.7348020546614287
2014-10-01,0.7874249412833083
2015-01-01,0.9218172920397791
2015-04-01,0.8622524232714585
2015-07-01,0.9031153762256937
2015-10-01,1.0141093594350772
2016-01-01,0.9630266101433929
2016-04-01,1.040270154511447
2016-07-01,0.9298316115582451
2016-10-01,0.8796369398075311
2017-01-01,0.8320997210394512
2017-04-01,0.6596541591282665
2017-07-01,0.7758586631520296
2017-10-01,0.7259701891149904
2018-01-01,0.758797601835984
2018-04-01,0.8628523370543812
2018-07-01,0.9497264373005544
2018-10-01,1.0618438305398878
2019-01-01,1.0391287220826426
2019-04-01,0.9669990109212807
2019-07-01,0.9579567084476128
2019-10-01,0.6927130693139716
2020-01-01,0.49574485342845587
2020-04-01,0.34084161944105024
2020-07-01,0.25543744483769504
2020-10-01,0.4031646085692042
2021-01-01,0.32543194124755903
2021-04-01,0.34081483921090633
2021-07-01,0.6228496974454498
2021-10-01,0.6082768711130085
2022-01-01,0.7703482140675288
2022-04-01,0.6468052111833515
2022-07-01,0.6536696156664037
2022-10-01,0.5406282551182403
2023-01-01,0.5380622842733482
2023-04-01,0.7244795792857799
2023-07-01,0.47910435890535386
2023-10-01,0.6072129014958387
2024-01-01,0.6894391464507214
2024-04-01,0.6293132495635281
2024-07-01,0.43964625228547843
2024-10-01,0.5142267701375812
2025-01-01,0.48415742504689496
2025-04-01,0.5794179085458719
2025-07-01,0.6302297371182122
2025-10-01,0.9281135143037598
2026-01-01,0.8979038435489028
